MakeNHL,Name,P/G,RelPM,Import,Ht,TeamStr,TOI,2ndAss%,G:A,Overage?,Weight,AgeInMonths,TeamForwardPointRank,Top5Team,Top10Team,IPP,PercentTO,TotalQOC,TotalQOT,OIGwTop,TopPlayer,GFDifferential,PPGRelativeToLead,DraftYear
0,Eric Hunter,1.1842559,0.056725146,0,73,0.490566038,0.430507574,0.180555556,0.555555556,2,198,241,1,0,0,0.653061224,0.307692308,0.288606468,0.241464332,1,1,0.093624772,1,2006
0,Bill Kinkel,0.055757856,-0.194771242,0,77,0.55982906,0.116110305,0.333333333,0.333333333,0,230,223,14,0,1,0.25,0.015267176,0.292107487,0.271717959,0.25,0,-0.174766355,0.039431842,2002
0,Adam Cracknell,1.019984611,0.051204106,0,74,0.475409836,0.348360656,0.213114754,0.426229508,1,215,230,2,0,1,0.818181818,0.310344828,0.339046967,0.334334508,0.529411765,0,0.06481687,0.677777778,2004
0,Kyle Wanvig,1.377067004,0.073438489,0,74,0.635416667,0.445652174,0.207920792,0.544554455,2,219,248,3,1,1,0.720930233,0.338797814,0.310389576,0.441590821,0.689655172,0,0.111308204,0.853864734,2001
0,Lance Bouma,0.557690714,-0.020811834,0,73,0.620408163,0.211095142,0.171428571,0.342857143,0,210,222,8,0,0,0.774193548,0.157894737,0.269085532,0.304750089,0.173913043,0,-0.015868203,0,2008
0,Jamie Tardif,0.887371205,0.00515528,0,72,0.480836237,0.339413814,0.2,0.516666667,0,210,224,3,0,1,0.723404255,0.246376812,0.316295806,0.29285779,0.803921569,0,0.044202899,0.594237695,2003
0,Michael Pelech,0.941077327,0.015496983,0,74,0.505376344,0.356736243,0.323076923,0.292307692,1,212,239,1,0,0,0.68,0.241134752,0.318155225,0.275780572,1,1,0.040023002,1,2009
0,Corey Locke,2.300890792,0.062065332,0,70,0.594427245,0.439065578,0.258278146,0.417218543,1,190,232,1,1,1,0.917647059,0.40625,0.320266654,0.475623183,1,1,0.099442009,1,2003
0,John Armstrong,0.546601048,-0.145895646,0,74,0.484304933,0.337771645,0.324324324,0.378378378,0,205,223,7,0,0,0.730769231,0.175925926,0.152270314,0.111453151,0,0,-0.146679317,0.406593407,2006
0,Phil Varone,0.882665631,-0.018596928,0,70,0.585964912,0.317967332,0.134615385,0.365384615,0,180,225,7,0,1,0.714285714,0.179640719,0.30756878,0.327470775,0.130434783,0,-0.014280176,0.430344828,2009
0,Ryan Rorabeck,0.548556745,-0.102088452,0,73,0.470588235,0.302521008,0.166666667,0.366666667,0,185,223,5,0,0,0.608695652,0.125,0.288695566,0.238889251,0.615384615,0,-0.06815698,0.463262765,2003
0,A.J. Jenks,0.793446241,-0.012447659,0,74,0.512195122,0.305595409,0.290909091,0.472727273,0,200,219,3,0,1,0.771428571,0.214285714,0.328866789,0.335708701,0.515151515,0,-0.027042254,0.544554455,2008
0,Tim Konsorada,0.608405509,-0.03734098,0,73,0.551495017,0.262786018,0.155555556,0.377777778,0,215,222,6,0,0,0.487804878,0.120481928,0.380384483,0.354850563,0.484848485,0,-0.034897091,0.514964789,2002
0,Philip Lane,0.485837461,-0.03258547,0,75,0.478070175,0.394736842,0.1875,0.5625,0,205,220,4,0,0,0.628571429,0.201834862,0.284849405,0.200648785,0.479166667,0,-0.0625,0.325,2010
0,Cody McCormick,0.348355548,-0.106785221,0,75,0.572992701,0.254810883,0.043478261,0.304347826,0,212,221,7,1,1,0.516129032,0.101910828,0.263983519,0.227520195,0.058823529,0,-0.115625,0.200821777,2001
0,Patrick Holland,0.633741585,-0.067496082,0,72,0.560606061,0.295839753,0.277777778,0.444444444,0,175,224,9,0,0,0.941176471,0.216216216,0.331510982,0.308507821,0.029411765,0,-0.03875,0.520876395,2010
0,Kyle DeCoste,0.326996027,-0.144916911,0,74,0.556363636,0.218181818,0.227272727,0.454545455,0,205,219,11,0,0,0.48,0.078431373,0.297937087,0.320162875,0.073170732,0,-0.127272727,0.249084249,2008
0,Chad Painchaud,0.66093279,0.185091278,0,73,0.541516245,0.259927798,0.19047619,0.404761905,0,186,220,5,1,1,0.782608696,0.24,0.196324311,0.19612777,0.147058824,0,0.178862933,0,2004
1,Tyler Kennedy,0.713387774,0.04930383,0,70,0.483754513,0.334192883,0.19047619,0.380952381,0,183,218,4,0,0,0.707317073,0.21641791,0.209648136,0.186246308,0.27027027,0,0.031683044,0.575757576,2004
0,Bryan Cameron,0.878611762,-0.032482217,0,70,0.518656716,0.3,0.155172414,0.568965517,0,183,223,6,1,1,0.823529412,0.201438849,0.323051158,0.320754048,0.447368421,0,-0.014925373,0.494573643,2007
0,Preston Mizzi,0.748983921,0.006629359,0,69,0.547619048,0.369174535,0.224137931,0.5,0,180,225,5,0,1,0.75,0.260869565,0.352797616,0.271871967,0.181818182,0,0.010413995,0.56850078,1999
0,Kyle Freadrich,0.055935062,-0.181235431,0,77,0.52303523,0.069236821,0,0.25,0,240,225,14.19354839,1,1,0.5,0.020725389,0.248671723,0.287218883,0,0,-0.130697914,0.033955857,1997
0,Brian Sutherby,0.756118581,-0.101853971,0,74,0.430508475,0.353119365,0.228571429,0.514285714,0,174,222,5,0,0,0.714285714,0.157480315,0.350672536,0.29689831,0.064516129,0,-0.024358642,0.574024823,2000
0,David Darguzas,0.671614648,0.048225309,0,74,0.372262774,0.315821939,0.2,0.418181818,0,205,224,3,0,0,0.730769231,0.248366013,0.303101189,0.191240339,0.196428571,0,0.049359541,0.670731707,1997
0,Jared Staal,0.801140266,0.132738095,0,76,0.36329588,0.359550562,0.244897959,0.428571429,0,198,217,3,0,0,0.710526316,0.278350515,0.353977197,0.282128339,0.875,0,0.159491979,0.663541667,2008
1,Matt Calvert,1.005613732,0.088071729,0,70,0.54340836,0.318327974,0.296875,0.375,0,182,225,5,0,0,0.754098361,0.272189349,0.27706026,0.416350548,0.022222222,0,0.106727654,0.791919192,2008
0,Joel Stepp,0.497263375,-0.004595132,0,72,0.635416667,0.217857143,0.081081081,0.648648649,0,184,223,7,1,1,0.641025641,0.136612022,0.281235322,0.282810079,0.044444444,0,0.004983029,0.308333333,2001
0,Kyle Chipchura,0.902937197,0.012783293,0,75,0.536036036,0.385135135,0.3125,0.3125,0,208,223,3,0,1,0.682926829,0.235294118,0.331856544,0.408277738,0.586956522,0,0.005227109,0.6,2004
0,Ondrej Fiala,0.801436795,0.019206146,1,74,0.528089888,0.261731659,0.314285714,0.6,0,195,226,5,0,0,0.65,0.138297872,0.271165511,0.221016495,0.789473684,0,0.095715778,0.614787582,2006
